DATE,DESCRIPTION
2024-01-01,Anul Nou
2024-01-02,Anul Nou
2024-01-06,Boboteaza
2024-01-07,Sfantul Ioan Botezatorul
2024-01-24,Ziua Unirii Principatelor Romane
2024-05-01,Ziua Muncii
2024-05-02,Zi libera stabilita de Guvern
2024-05-03,Vinerea Mare
2024-05-05,Prima zi de Paste Ortodox
2024-05-06,A doua zi de Paste Ortodox
2024-06-01,Ziua Copilului
2024-06-23,Rusalii
2024-06-24,A doua zi de Rusalii
2024-08-15,Adormirea Maicii Domnului
2024-08-16,Zi libera stabilita de Guvern
2024-11-30,Sfantul Andrei
2024-12-01,Ziua Nationala a Romaniei
2024-12-25,Prima zi de Craciun
2024-12-26,A doua zi de Craciun
2024-12-27,Zi libera stabilita de Guvern
2025-01-01,Anul Nou
2025-01-02,Anul Nou
2025-01-06,Boboteaza
2025-01-07,Sfantul Ioan Botezatorul
2025-01-24,Ziua Unirii Principatelor Romane
2025-04-18,Vinerea Mare
2025-04-20,Prima zi de Paste Ortodox
2025-04-21,A doua zi de Paste Ortodox
2025-05-01,Ziua Muncii
2025-06-01,Ziua Copilului
2025-06-08,Rusalii
2025-06-09,A doua zi de Rusalii
2025-08-15,Adormirea Maicii Domnului
2025-11-30,Sfantul Andrei
2025-12-01,Ziua Nationala a Romaniei
2025-12-25,Prima zi de Craciun
2025-12-26,A doua zi de Craciun